name,h2,h3,h4,endorser,link
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Charlie Crist,https://en.wikipedia.org/wiki/Charlie_Crist
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Danny Davis,https://en.wikipedia.org/wiki/Danny_K._Davis
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Dwight Evans,https://en.wikipedia.org/wiki/Dwight_Evans_(politician)
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Abby Finkenauer,https://en.wikipedia.org/wiki/Abby_Finkenauer
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Sylvia Garcia,https://en.wikipedia.org/wiki/Sylvia_Garcia
Joe Biden,Federal legislative officials,U.S. Representatives,Current,John Garamendi,https://en.wikipedia.org/wiki/John_Garamendi
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Vicente Gonzalez,https://en.wikipedia.org/wiki/Vicente_Gonzalez_(politician)
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Alcee Hastings,https://en.wikipedia.org/wiki/Alcee_Hastings
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Steven Horsford,https://en.wikipedia.org/wiki/Steven_Horsford
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Chrissy Houlahan,https://en.wikipedia.org/wiki/Chrissy_Houlahan
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Eddie Bernice Johnson,https://en.wikipedia.org/wiki/Eddie_Bernice_Johnson
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Conor Lamb,https://en.wikipedia.org/wiki/Conor_Lamb
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Al Lawson,https://en.wikipedia.org/wiki/Al_Lawson
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Elaine Luria,https://en.wikipedia.org/wiki/Elaine_Luria
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Stephen F. Lynch,https://en.wikipedia.org/wiki/Stephen_F._Lynch
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Tom Malinowski,https://en.wikipedia.org/wiki/Tom_Malinowski
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Sean Patrick Maloney,https://en.wikipedia.org/wiki/Sean_Patrick_Maloney
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Donald McEachin,https://en.wikipedia.org/wiki/Donald_McEachin
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Seth Moulton,https://en.wikipedia.org/wiki/Seth_Moulton
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Donald Payne Jr.,https://en.wikipedia.org/wiki/Donald_Payne_Jr.
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Cedric Richmond,https://en.wikipedia.org/wiki/Cedric_Richmond
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Lucille Roybal-Allard,https://en.wikipedia.org/wiki/Lucille_Roybal-Allard
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Tim Ryan,https://en.wikipedia.org/wiki/Tim_Ryan_(Ohio_politician)
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Brad Schneider,https://en.wikipedia.org/wiki/Brad_Schneider
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Kurt Schrader,https://en.wikipedia.org/wiki/Kurt_Schrader
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Terri Sewell,https://en.wikipedia.org/wiki/Terri_Sewell
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Tom Suozzi,https://en.wikipedia.org/wiki/Tom_Suozzi
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Dina Titus,https://en.wikipedia.org/wiki/Dina_Titus
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Marc Veasey,https://en.wikipedia.org/wiki/Marc_Veasey
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Filemon Vela Jr.,https://en.wikipedia.org/wiki/Filemon_Vela_Jr.
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Frederica Wilson,https://en.wikipedia.org/wiki/Frederica_Wilson
Joe Biden,Federal legislative officials,U.S. Representatives,Former,Shelley Berkley,https://en.wikipedia.org/wiki/Shelley_Berkley
Joe Biden,Federal legislative officials,U.S. Representatives,Former,James Bilbray,https://en.wikipedia.org/wiki/James_Bilbray
Joe Biden,Federal legislative officials,U.S. Representatives,Former,Mike Blouin,https://en.wikipedia.org/wiki/Mike_Blouin
Joe Biden,Federal legislative officials,U.S. Representatives,Former,Bob Brady,https://en.wikipedia.org/wiki/Bob_Brady
Joe Biden,Federal legislative officials,U.S. Representatives,Former,Lincoln Davis,https://en.wikipedia.org/wiki/Lincoln_Davis
Joe Biden,Federal legislative officials,U.S. Representatives,Former,Bill Delahunt,https://en.wikipedia.org/wiki/Bill_Delahunt
Joe Biden,Federal legislative officials,U.S. Representatives,Former,Ed Feighan,https://en.wikipedia.org/wiki/Ed_Feighan
Joe Biden,Federal legislative officials,U.S. Representatives,Former,Gwen Graham,https://en.wikipedia.org/wiki/Gwen_Graham
Joe Biden,Federal legislative officials,U.S. Representatives,Former,Gene Green,https://en.wikipedia.org/wiki/Gene_Green
Joe Biden,Federal legislative officials,U.S. Representatives,Former,Paul Hodes,https://en.wikipedia.org/wiki/Paul_Hodes
Joe Biden,Federal legislative officials,U.S. Representatives,Former,Steve Israel,https://en.wikipedia.org/wiki/Steve_Israel
Joe Biden,Federal legislative officials,U.S. Representatives,Former,Larry LaRocco,https://en.wikipedia.org/wiki/Larry_LaRocco
Joe Biden,Federal legislative officials,U.S. Representatives,Former,Jim Moran,https://en.wikipedia.org/wiki/Jim_Moran
Joe Biden,Federal legislative officials,U.S. Representatives,Former,Charles Rangel,https://en.wikipedia.org/wiki/Charles_Rangel
Joe Biden,Federal legislative officials,U.S. Representatives,Former,Tim Roemer,https://en.wikipedia.org/wiki/Tim_Roemer
Joe Biden,Federal legislative officials,U.S. Representatives,Former,Carol Shea-Porter,https://en.wikipedia.org/wiki/Carol_Shea-Porter
Joe Biden,Federal legislative officials,U.S. Representatives,Former,Neal Edward Smith,https://en.wikipedia.org/wiki/Neal_Edward_Smith
Joe Biden,Federal legislative officials,U.S. Representatives,Former,Richard Stallings,https://en.wikipedia.org/wiki/Richard_H._Stallings
Joe Biden,Federal legislative officials,U.S. Representatives,Former,Richard Swett,https://en.wikipedia.org/wiki/Richard_Swett
Joe Biden,Federal legislative officials,U.S. Representatives,Former,Albert Wynn,https://en.wikipedia.org/wiki/Albert_Wynn
